;unnamed: 0;unnamed: 0.1;unnamed: 0.1.1;no_of_comments;no_of_likes;topic;length_of_text;question;personalisation;emotional;opinion;regional;personal;main_clauses;sub_clauses;no_of_sentences;emoji;emoji_count;ratio_main_sub;ratio_main;ratio_sub;sentence_structure;emotion;type
11;11;11;11;0.0;540.0;culture;687;True;personalisation;no emotionalisation;Interview;regional;personalisation;7.0;3.0;6.0;[];0.0;0.4285714285714285;1.1666666666666667;0.5;complex;;Instagram
12;12;12;12;3.0;257.0;culture;518;True;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;1.0;5.0;['⛺'];1.0;0.2;1.0;0.2;complex;;Instagram
13;13;13;13;75.0;322.0;culture;444;True;no personalisation;emotionalisation;News;regional;no personalisation;7.0;1.0;6.0;[];0.0;0.1428571428571428;1.1666666666666667;0.1666666666666666;simple;positive;Instagram
14;14;14;14;5.0;168.0;construction & living;609;True;personalisation;no emotionalisation;Interview;(inter)national;personalisation;8.0;1.0;9.0;[];0.0;0.125;0.8888888888888888;0.1111111111111111;simple;;Instagram
15;15;15;15;2.0;55.0;LVZ;265;True;personalisation;no emotionalisation;News;regional;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
16;16;16;16;1.0;339.0;culture;309;True;personalisation;no emotionalisation;News;regional;personalisation;3.0;0.0;4.0;[];0.0;0.0;0.75;0.0;simple;;Instagram
17;17;17;17;3.0;284.0;business & finance;703;True;personalisation;no emotionalisation;Report/ Analysis;regional;personalisation;9.0;0.0;9.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
18;18;18;18;0.0;239.0;crime, disaster & accidents;352;False;personalisation;no emotionalisation;Interview;(inter)national;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
19;19;19;19;10.0;1201.0;celebrity;587;True;personalisation;no emotionalisation;Interview;regional;personalisation;10.0;1.0;7.0;[];0.0;0.1;1.4285714285714286;0.1428571428571428;simple;;Instagram
20;20;20;20;9.0;318.0;culture;664;True;no personalisation;no emotionalisation;News;(inter)national;no personalisation;5.0;4.0;7.0;['😍', '🍄'];1.0;0.8;0.7142857142857143;0.5714285714285714;complex;;Instagram
21;21;21;21;2.0;868.0;culture;274;False;personalisation;no emotionalisation;News;regional;no personalisation;2.0;0.0;4.0;['😎', '🎸'];1.0;0.0;0.5;0.0;simple;;Instagram
22;22;22;22;4.0;408.0;sports;776;True;personalisation;no emotionalisation;News;(inter)national;personalisation;8.0;0.0;11.0;['🏆', '⚽', '❤️'];1.0;0.0;0.7272727272727273;0.0;simple;;Instagram
23;23;23;23;14.0;841.0;science & education;633;True;personalisation;emotionalisation;Interview;regional;no personalisation;4.0;0.0;7.0;[];0.0;0.0;0.5714285714285714;0.0;simple;negative;Instagram
24;24;24;24;0.0;294.0;science & education;401;False;no personalisation;emotionalisation;News;(inter)national;no personalisation;4.0;0.0;6.0;['⛱'];1.0;0.0;0.6666666666666666;0.0;simple;positive;Instagram
25;25;25;25;3.0;410.0;culture;225;True;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;0.0;4.0;['🤩'];1.0;0.0;1.0;0.0;simple;;Instagram
26;26;26;26;40.0;314.0;business & finance;950;False;personalisation;no emotionalisation;Interview;(inter)national;personalisation;11.0;3.0;10.0;[];0.0;0.2727272727272727;1.1;0.3;complex;;Instagram
27;27;27;27;702.0;1757.0;politics;431;False;personalisation;no emotionalisation;News;regional;no personalisation;5.0;0.0;3.0;[];0.0;0.0;1.6666666666666667;0.0;simple;;Instagram
28;28;28;28;34.0;366.0;mobility;472;False;no personalisation;no emotionalisation;News;regional;no personalisation;5.0;2.0;6.0;['⛽'];1.0;0.4;0.8333333333333334;0.3333333333333333;complex;;Instagram
29;29;29;29;0.0;102.0;health;212;True;no personalisation;no emotionalisation;News;(inter)national;personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;;Instagram
30;30;30;30;0.0;54.0;health;714;False;personalisation;no emotionalisation;Cooperation/ Ad;(inter)national;personalisation;5.0;5.0;6.0;['🤱', '📑', '🏥', '👉'];1.0;1.0;0.8333333333333334;0.8333333333333334;complex;;Instagram
31;31;31;31;1.0;780.0;sports;151;False;personalisation;no emotionalisation;News;regional;no personalisation;1.0;0.0;2.0;[];0.0;0.0;0.5;0.0;simple;;Instagram
32;32;32;32;4.0;332.0;celebrity;300;True;personalisation;no emotionalisation;News;(inter)national;personalisation;5.0;0.0;5.0;['🎤', '🏆'];1.0;0.0;1.0;0.0;simple;;Instagram
33;33;33;33;7.0;690.0;culture;721;False;personalisation;no emotionalisation;Interview;regional;personalisation;11.0;1.0;6.0;['🦁'];1.0;0.0909090909090909;1.8333333333333333;0.1666666666666666;simple;;Instagram
34;34;34;34;6.0;361.0;culture;687;False;personalisation;no emotionalisation;Interview;regional;personalisation;7.0;2.0;8.0;[];0.0;0.2857142857142857;0.875;0.25;complex;;Instagram
35;35;35;35;30.0;532.0;culture;398;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;0.0;5.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
36;36;36;36;111.0;741.0;crime, disaster & accidents;971;False;personalisation;no emotionalisation;News;(inter)national;personalisation;11.0;1.0;9.0;[];0.0;0.0909090909090909;1.2222222222222223;0.1111111111111111;simple;;Instagram
37;37;37;37;42.0;971.0;culture;325;True;personalisation;emotionalisation;News;regional;no personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;positive;Instagram
38;38;38;38;54.0;445.0;politics;341;False;personalisation;no emotionalisation;Interview;(inter)national;personalisation;5.0;3.0;4.0;[];0.0;0.6;1.25;0.75;complex;;Instagram
39;39;39;39;9.0;400.0;science & education;688;False;no personalisation;no emotionalisation;News;(inter)national;no personalisation;6.0;0.0;6.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
40;40;40;40;32.0;656.0;construction & living;476;False;no personalisation;no emotionalisation;News;regional;personalisation;3.0;0.0;6.0;['🏘'];1.0;0.0;0.5;0.0;simple;;Instagram
41;41;41;41;15.0;422.0;crime, disaster & accidents;727;False;personalisation;no emotionalisation;News;(inter)national;personalisation;5.0;0.0;3.0;[];0.0;0.0;1.6666666666666667;0.0;simple;;Instagram
42;42;42;42;4.0;998.0;construction & living;408;True;no personalisation;emotionalisation;News;regional;no personalisation;7.0;0.0;6.0;['🎉', '🏦'];1.0;0.0;1.1666666666666667;0.0;simple;positive;Instagram
43;43;43;43;6.0;348.0;sports;297;True;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;0.0;5.0;[];0.0;0.0;0.8;0.0;simple;;Instagram
44;44;44;44;346.0;882.0;politics;916;True;no personalisation;no emotionalisation;News;(inter)national;personalisation;3.0;1.0;3.0;[];0.0;0.3333333333333333;1.0;0.3333333333333333;complex;;Instagram
45;45;45;45;16.0;323.0;politics;750;False;personalisation;no emotionalisation;Comment;(inter)national;personalisation;7.0;1.0;5.0;[];0.0;0.1428571428571428;1.4;0.2;simple;;Instagram
46;46;46;46;1.0;37.0;culture;890;True;no personalisation;no emotionalisation;Cooperation/ Ad;regional;personalisation;9.0;1.0;7.0;['👉'];1.0;0.1111111111111111;1.2857142857142858;0.1428571428571428;simple;;Instagram
47;47;47;47;5.0;215.0;LVZ;450;True;personalisation;no emotionalisation;News;(inter)national;personalisation;4.0;2.0;5.0;[];0.0;0.5;0.8;0.4;complex;;Instagram
48;48;48;48;4.0;784.0;culture;722;True;personalisation;no emotionalisation;News;regional;personalisation;5.0;2.0;8.0;['🏘'];1.0;0.4;0.625;0.25;complex;;Instagram
49;49;49;49;3.0;476.0;culture;392;True;no personalisation;no emotionalisation;News;regional;no personalisation;6.0;1.0;7.0;['🚴🏻\u200d♀️', '🚴🏽\u200d♂️'];1.0;0.1666666666666666;0.8571428571428571;0.1428571428571428;complex;;Instagram
50;50;50;50;4.0;573.0;culture;265;False;personalisation;emotionalisation;News;regional;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;positive;Instagram
51;51;51;51;1.0;473.0;culture;316;False;personalisation;no emotionalisation;News;regional;no personalisation;3.0;2.0;6.0;['🖼', '➡️'];1.0;0.6666666666666666;0.5;0.3333333333333333;complex;;Instagram
52;52;52;52;6.0;251.0;culture;447;False;no personalisation;no emotionalisation;News;regional;personalisation;6.0;0.0;5.0;[];0.0;0.0;1.2;0.0;simple;;Instagram
53;53;53;53;28.0;564.0;politics;569;False;personalisation;no emotionalisation;News;(inter)national;personalisation;8.0;4.0;7.0;['🧐'];1.0;0.5;1.1428571428571428;0.5714285714285714;complex;;Instagram
54;54;54;54;36.0;514.0;culture;518;False;personalisation;no emotionalisation;News;regional;personalisation;9.0;0.0;6.0;[];0.0;0.0;1.5;0.0;simple;;Instagram
55;55;55;55;9.0;794.0;culture;547;True;no personalisation;no emotionalisation;News;regional;personalisation;4.0;2.0;4.0;[];0.0;0.5;1.0;0.5;complex;;Instagram
56;56;56;56;0.0;52.0;culture;865;False;personalisation;emotionalisation;Cooperation/ Ad;regional;personalisation;9.0;0.0;7.0;['📅', '📍', '👉'];1.0;0.0;1.2857142857142858;0.0;simple;positive;Instagram
57;57;57;57;1.0;78.0;politics;375;True;personalisation;no emotionalisation;Interview;(inter)national;no personalisation;3.0;1.0;3.0;[];0.0;0.3333333333333333;1.0;0.3333333333333333;complex;;Instagram
58;58;58;58;5.0;313.0;sports;582;False;personalisation;no emotionalisation;Interview;regional;personalisation;7.0;1.0;11.0;[];0.0;0.1428571428571428;0.6363636363636364;0.0909090909090909;simple;;Instagram
59;59;59;59;27.0;831.0;construction & living;605;False;no personalisation;no emotionalisation;News;regional;personalisation;6.0;2.0;6.0;[];0.0;0.3333333333333333;1.0;0.3333333333333333;complex;;Instagram
60;60;60;60;100.0;1035.0;mobility;558;False;no personalisation;no emotionalisation;News;regional;personalisation;8.0;1.0;8.0;['🚴\u200d♂️'];1.0;0.125;1.0;0.125;simple;;Instagram
61;61;61;61;8.0;754.0;culture;307;False;personalisation;no emotionalisation;News;(inter)national;no personalisation;3.0;1.0;3.0;[];0.0;0.3333333333333333;1.0;0.3333333333333333;complex;;Instagram
62;62;62;62;3.0;747.0;culture;652;False;no personalisation;no emotionalisation;News;regional;personalisation;7.0;0.0;8.0;['⛱', '🏊\u200d♂️'];1.0;0.0;0.875;0.0;simple;;Instagram
63;63;63;63;34.0;389.0;business & finance;663;False;no personalisation;no emotionalisation;News;regional;no personalisation;0.0;0.0;0.0;[];0.0;;;;simple;;Instagram
64;64;64;64;31.0;424.0;culture;596;True;no personalisation;no emotionalisation;News;regional;personalisation;8.0;0.0;10.0;['🐘', '🌴'];1.0;0.0;0.8;0.0;simple;;Instagram
65;65;65;65;9.0;390.0;culture;945;True;personalisation;emotionalisation;Interview;regional;personalisation;10.0;1.0;10.0;[];0.0;0.1;1.0;0.1;simple;negative;Instagram
66;66;66;66;20.0;501.0;science & education;967;True;no personalisation;emotionalisation;News;(inter)national;no personalisation;11.0;1.0;8.0;[];0.0;0.0909090909090909;1.375;0.125;simple;negative;Instagram
67;67;67;67;30.0;2072.0;construction & living;489;True;personalisation;no emotionalisation;News;regional;personalisation;7.0;1.0;6.0;[];0.0;0.1428571428571428;1.1666666666666667;0.1666666666666666;simple;;Instagram
68;68;68;68;9.0;828.0;construction & living;407;False;no personalisation;no emotionalisation;News;regional;no personalisation;6.0;0.0;6.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
69;69;69;69;13.0;1402.0;sports;418;False;personalisation;no emotionalisation;News;(inter)national;personalisation;5.0;0.0;6.0;['🏆'];1.0;0.0;0.8333333333333334;0.0;simple;;Instagram
70;70;70;70;36.0;849.0;politics;741;False;no personalisation;no emotionalisation;News;regional;personalisation;9.0;1.0;9.0;['🏘'];1.0;0.1111111111111111;1.0;0.1111111111111111;simple;;Instagram
71;71;71;71;0.0;55.0;culture;650;False;no personalisation;no emotionalisation;Cooperation/ Ad;regional;personalisation;2.0;0.0;8.0;['🌻', '🌟', '🕺', '💃', '👉'];1.0;0.0;0.25;0.0;simple;;Instagram
72;72;72;72;42.0;210.0;culture;452;True;no personalisation;no emotionalisation;News;regional;no personalisation;8.0;0.0;5.0;[];0.0;0.0;1.6;0.0;simple;;Instagram
73;73;73;73;2.0;347.0;sports;611;False;personalisation;no emotionalisation;News;regional;no personalisation;8.0;1.0;9.0;['⚽', '🎁'];1.0;0.125;0.8888888888888888;0.1111111111111111;simple;;Instagram
74;74;74;74;105.0;927.0;politics;466;False;no personalisation;no emotionalisation;News;regional;personalisation;5.0;1.0;4.0;[];0.0;0.2;1.25;0.25;complex;;Instagram
75;75;75;75;6.0;216.0;sports;499;False;personalisation;no emotionalisation;News;regional;personalisation;5.0;0.0;7.0;[];0.0;0.0;0.7142857142857143;0.0;simple;;Instagram
76;76;76;76;41.0;915.0;mobility;605;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;2.0;9.0;[];0.0;0.4;0.5555555555555556;0.2222222222222222;complex;;Instagram
77;77;77;77;18.0;447.0;crime, disaster & accidents;540;False;personalisation;no emotionalisation;News;(inter)national;personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;;Instagram
78;78;78;78;6.0;886.0;sports;546;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;5.0;6.0;['🏊'];1.0;1.0;0.8333333333333334;0.8333333333333334;complex;;Instagram
79;79;79;79;65.0;1488.0;culture;1053;False;personalisation;no emotionalisation;Interview;(inter)national;personalisation;16.0;1.0;11.0;[];0.0;0.0625;1.4545454545454546;0.0909090909090909;simple;;Instagram
80;80;80;80;7.0;1144.0;culture;481;False;personalisation;no emotionalisation;News;regional;personalisation;4.0;1.0;6.0;[];0.0;0.25;0.6666666666666666;0.1666666666666666;complex;;Instagram
81;81;81;81;37.0;425.0;crime, disaster & accidents;444;True;no personalisation;no emotionalisation;News;(inter)national;no personalisation;5.0;0.0;6.0;['🚨', '🚨', '🚨', '📢'];1.0;0.0;0.8333333333333334;0.0;simple;;Instagram
82;82;82;82;0.0;36.0;mobility;540;True;no personalisation;no emotionalisation;News;regional;no personalisation;5.0;2.0;12.0;['⏱', '📍', '🚗', '🚲', '🎉', '👉', '😊'];1.0;0.4;0.4166666666666667;0.1666666666666666;complex;;Instagram
83;83;83;83;19.0;1088.0;crime, disaster & accidents;525;False;no personalisation;no emotionalisation;News;regional;no personalisation;10.0;0.0;7.0;[];0.0;0.0;1.4285714285714286;0.0;simple;;Instagram
84;84;84;84;51.0;707.0;politics;439;False;no personalisation;no emotionalisation;News;regional;no personalisation;5.0;1.0;5.0;[];0.0;0.2;1.0;0.2;complex;;Instagram
85;85;85;85;6.0;199.0;sports;437;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;1.0;6.0;[];0.0;0.2;0.8333333333333334;0.1666666666666666;complex;;Instagram
86;86;86;86;74.0;646.0;politics;396;False;no personalisation;no emotionalisation;News;regional;personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;;Instagram
87;87;87;87;29.0;298.0;politics;1158;False;no personalisation;no emotionalisation;News;(inter)national;no personalisation;10.0;0.0;10.0;['🌍'];1.0;0.0;1.0;0.0;simple;;Instagram
88;88;88;88;5.0;785.0;crime, disaster & accidents;486;False;no personalisation;no emotionalisation;News;regional;personalisation;5.0;0.0;7.0;['🚒'];1.0;0.0;0.7142857142857143;0.0;simple;;Instagram
89;89;89;89;27.0;493.0;politics;525;False;no personalisation;no emotionalisation;News;regional;no personalisation;8.0;2.0;4.0;[];0.0;0.25;2.0;0.5;complex;;Instagram
90;90;90;90;7.0;488.0;crime, disaster & accidents;500;False;no personalisation;no emotionalisation;News;regional;no personalisation;6.0;1.0;8.0;[];0.0;0.1666666666666666;0.75;0.125;complex;;Instagram
91;91;91;91;0.0;370.0;culture;192;False;no personalisation;no emotionalisation;News;regional;no personalisation;3.0;0.0;3.0;['🐘'];1.0;0.0;1.0;0.0;simple;;Instagram
92;92;92;92;72.0;478.0;mobility;740;True;no personalisation;no emotionalisation;News;regional;personalisation;12.0;5.0;10.0;['🚦'];1.0;0.4166666666666667;1.2;0.5;complex;;Instagram
93;93;93;93;0.0;80.0;culture;470;True;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;0.0;8.0;['📚', '👗', '🛍', '👍', '👉'];1.0;0.0;0.5;0.0;simple;;Instagram
94;94;94;94;23.0;436.0;culture;683;True;personalisation;no emotionalisation;Interview;regional;personalisation;9.0;1.0;11.0;[];0.0;0.1111111111111111;0.8181818181818182;0.0909090909090909;simple;;Instagram
95;95;95;95;42.0;1844.0;politics;331;False;no personalisation;emotionalisation;News;regional;no personalisation;4.0;1.0;6.0;[];0.0;0.25;0.6666666666666666;0.1666666666666666;complex;positive;Instagram
96;96;96;96;10.0;278.0;culture;256;True;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;0.0;3.0;[];0.0;0.0;1.3333333333333333;0.0;simple;;Instagram
97;97;97;97;8.0;2134.0;science & education;909;False;no personalisation;no emotionalisation;News;(inter)national;personalisation;9.0;2.0;13.0;['🌈', '✨', '🪐'];1.0;0.2222222222222222;0.6923076923076923;0.1538461538461538;complex;;Instagram
98;98;98;98;1.0;57.0;business & finance;415;False;personalisation;no emotionalisation;Cooperation/ Ad;regional;no personalisation;2.0;0.0;4.0;['👉'];1.0;0.0;0.5;0.0;simple;;Instagram
99;99;99;99;18.0;259.0;crime, disaster & accidents;439;False;personalisation;no emotionalisation;News;regional;personalisation;4.0;0.0;5.0;[];0.0;0.0;0.8;0.0;simple;;Instagram
100;100;100;100;142.0;3960.0;mobility;393;True;no personalisation;no emotionalisation;News;regional;no personalisation;5.0;0.0;7.0;[];0.0;0.0;0.7142857142857143;0.0;simple;;Instagram
101;101;101;101;50.0;288.0;crime, disaster & accidents;478;True;no personalisation;no emotionalisation;News;regional;no personalisation;7.0;1.0;8.0;['🚲'];1.0;0.1428571428571428;0.875;0.125;simple;;Instagram
102;102;102;102;8.0;278.0;sports;741;False;personalisation;no emotionalisation;Interview;regional;personalisation;6.0;0.0;7.0;[];0.0;0.0;0.8571428571428571;0.0;simple;;Instagram
103;103;103;103;31.0;740.0;mobility;536;True;personalisation;emotionalisation;Interview;regional;no personalisation;7.0;1.0;6.0;[];0.0;0.1428571428571428;1.1666666666666667;0.1666666666666666;simple;negative;Instagram
104;104;104;104;58.0;820.0;other;320;False;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;1.0;5.0;[];0.0;0.25;0.8;0.2;complex;;Instagram
105;105;105;105;41.0;630.0;culture;641;True;no personalisation;no emotionalisation;News;regional;no personalisation;6.0;1.0;7.0;[];0.0;0.1666666666666666;0.8571428571428571;0.1428571428571428;complex;;Instagram
106;106;106;106;3.0;304.0;health;432;False;no personalisation;no emotionalisation;News;(inter)national;no personalisation;5.0;0.0;4.0;[];0.0;0.0;1.25;0.0;simple;;Instagram
107;107;107;107;0.0;105.0;health;661;True;personalisation;no emotionalisation;News;(inter)national;personalisation;9.0;1.0;6.0;[];0.0;0.1111111111111111;1.5;0.1666666666666666;simple;;Instagram
108;108;108;108;10.0;1146.0;culture;613;False;no personalisation;no emotionalisation;News;regional;personalisation;10.0;1.0;8.0;['🎉'];1.0;0.1;1.25;0.125;simple;;Instagram
109;109;109;109;33.0;362.0;politics;181;False;personalisation;no emotionalisation;Interview;(inter)national;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
110;110;110;110;0.0;121.0;sports;786;True;personalisation;no emotionalisation;News;regional;personalisation;4.0;0.0;12.0;['🤾🏼', '🎉', '🍀'];1.0;0.0;0.3333333333333333;0.0;simple;;Instagram
111;111;111;111;62.0;372.0;politics;529;False;personalisation;no emotionalisation;News;(inter)national;personalisation;6.0;3.0;3.0;[];0.0;0.5;2.0;1.0;complex;;Instagram
112;112;112;112;1.0;572.0;construction & living;418;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;1.0;4.0;[];0.0;0.2;1.25;0.25;complex;;Instagram
113;113;113;113;11.0;452.0;sports;654;False;personalisation;no emotionalisation;Comment;regional;personalisation;7.0;1.0;6.0;[];0.0;0.1428571428571428;1.1666666666666667;0.1666666666666666;simple;;Instagram
114;114;114;114;2.0;460.0;politics;958;False;personalisation;no emotionalisation;News;(inter)national;personalisation;10.0;3.0;9.0;[];0.0;0.3;1.1111111111111112;0.3333333333333333;complex;;Instagram
115;115;115;115;82.0;740.0;crime, disaster & accidents;360;False;no personalisation;no emotionalisation;News;regional;personalisation;2.0;0.0;2.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
116;116;116;116;35.0;318.0;crime, disaster & accidents;998;False;personalisation;no emotionalisation;Report/ Analysis;regional;personalisation;16.0;2.0;13.0;[];0.0;0.125;1.2307692307692308;0.1538461538461538;simple;;Instagram
117;117;117;117;42.0;233.0;LVZ;910;True;personalisation;no emotionalisation;News;(inter)national;personalisation;10.0;0.0;9.0;[];0.0;0.0;1.1111111111111112;0.0;simple;;Instagram
118;118;118;118;20.0;983.0;culture;609;False;personalisation;emotionalisation;News;regional;personalisation;10.0;0.0;8.0;['🎉'];1.0;0.0;1.25;0.0;simple;positive;Instagram
119;119;119;119;2.0;362.0;culture;214;True;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;1.0;2.0;[];0.0;0.25;2.0;0.5;complex;;Instagram
120;120;120;120;26.0;465.0;business & finance;697;False;personalisation;no emotionalisation;News;regional;personalisation;0.0;0.0;0.0;[];0.0;;;;simple;;Instagram
121;121;121;121;561.0;4392.0;crime, disaster & accidents;939;False;personalisation;emotionalisation;News;regional;personalisation;8.0;3.0;8.0;[];0.0;0.375;1.0;0.375;complex;negative;Instagram
122;122;122;122;0.0;58.0;science & education;822;False;no personalisation;no emotionalisation;Cooperation/ Ad;regional;no personalisation;7.0;1.0;10.0;['🏣', '👩\u200d⚕️', '👨\u200d💻', '👩🏾\u200d🔬', '👉', '👉'];1.0;0.1428571428571428;0.7;0.1;simple;;Instagram
123;123;123;123;34.0;935.0;culture;453;True;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;0.0;6.0;[];0.0;0.0;0.8333333333333334;0.0;simple;;Instagram
124;124;124;124;55.0;829.0;culture;744;False;no personalisation;no emotionalisation;News;regional;personalisation;7.0;2.0;10.0;['😞'];1.0;0.2857142857142857;0.7;0.2;complex;;Instagram
125;125;125;125;1.0;169.0;health;858;False;no personalisation;emotionalisation;News;(inter)national;no personalisation;7.0;3.0;7.0;[];0.0;0.4285714285714285;1.0;0.4285714285714285;complex;negative;Instagram
126;126;126;126;77.0;2341.0;mobility;647;False;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;2.0;7.0;[];0.0;0.5;0.5714285714285714;0.2857142857142857;complex;;Instagram
127;127;127;127;11.0;1377.0;celebrity;630;False;personalisation;no emotionalisation;News;(inter)national;personalisation;7.0;1.0;8.0;['🧙\u200d♂️'];1.0;0.1428571428571428;0.875;0.125;simple;;Instagram
128;128;128;128;1.0;374.0;LVZ;717;False;personalisation;no emotionalisation;News;regional;personalisation;7.0;0.0;8.0;['💃'];1.0;0.0;0.875;0.0;simple;;Instagram
129;129;129;129;1.0;48.0;culture;655;False;personalisation;no emotionalisation;Cooperation/ Ad;regional;no personalisation;7.0;2.0;6.0;['✨', '🎁', '👉'];1.0;0.2857142857142857;1.1666666666666667;0.3333333333333333;complex;;Instagram
130;130;130;130;22.0;728.0;health;885;True;personalisation;emotionalisation;Interview;regional;personalisation;0.0;0.0;0.0;[];0.0;;;;simple;negative;Instagram
131;131;131;131;4.0;964.0;sports;842;False;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;1.0;5.0;['🥉', '🚴\u200d♂️'];1.0;0.25;0.8;0.2;complex;;Instagram
132;132;132;132;7.0;556.0;crime, disaster & accidents;787;False;no personalisation;no emotionalisation;News;(inter)national;no personalisation;6.0;1.0;5.0;[];0.0;0.1666666666666666;1.2;0.2;complex;;Instagram
133;133;133;133;21.0;348.0;sports;572;False;personalisation;no emotionalisation;Interview;regional;personalisation;5.0;1.0;5.0;[];0.0;0.2;1.0;0.2;complex;;Instagram
134;134;134;134;16.0;1634.0;sports;807;False;personalisation;no emotionalisation;Interview;regional;personalisation;10.0;1.0;10.0;[];0.0;0.1;1.0;0.1;simple;;Instagram
135;135;135;135;94.0;404.0;other;769;False;personalisation;emotionalisation;Report/ Analysis;regional;personalisation;5.0;1.0;6.0;[];0.0;0.2;0.8333333333333334;0.1666666666666666;complex;negative;Instagram
136;136;136;136;0.0;113.0;culture;658;False;no personalisation;no emotionalisation;Cooperation/ Ad;regional;no personalisation;4.0;1.0;9.0;['🧡', '🤩', '🙌🏼', '🍂', '📸', '🍁', '🍂', '🍁', '🍂', '🍁', '😋', '👉'];1.0;0.25;0.4444444444444444;0.1111111111111111;complex;;Instagram
137;137;137;137;28.0;234.0;politics;658;True;personalisation;no emotionalisation;Interview;(inter)national;personalisation;6.0;0.0;7.0;[];0.0;0.0;0.8571428571428571;0.0;simple;;Instagram
138;138;138;138;8.0;878.0;culture;393;False;personalisation;no emotionalisation;News;regional;no personalisation;5.0;1.0;7.0;[];0.0;0.2;0.7142857142857143;0.1428571428571428;complex;;Instagram
139;139;139;139;6.0;427.0;celebrity;267;True;personalisation;no emotionalisation;News;regional;personalisation;3.0;0.0;4.0;[];0.0;0.0;0.75;0.0;simple;;Instagram
